rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
91,top-100-forks,system-prompts-and-models-of-ai-tools,99973,26747,,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,64,2025-12-02T16:21:36Z,"FULL Augment Code, Claude Code, Cluely, CodeBuddy, Comet, Cursor, Devin AI, Junie, Kiro, Leap.new, Lovable, Manus, NotionAI, Orchids.app, Perplexity, Poke, Qoder, Replit, Same.dev, Trae, Traycer AI, VSCode Agent, Warp.dev, Windsurf, Xcode, Z.ai Code, Dia & v0. (And other Open Sourced) System Prompts, Internal Tools & AI Models"
92,top-100-forks,dubbo,41631,26554,Java,https://github.com/apache/dubbo,apache,801,2025-12-09T02:53:52Z,The java implementation of Apache Dubbo. An RPC and microservice framework.
93,top-100-forks,scikit-learn,64238,26495,Python,https://github.com/scikit-learn/scikit-learn,scikit-learn,1585,2025-12-08T13:52:28Z,scikit-learn: machine learning in Python
94,top-100-forks,ohmyzsh,183222,26291,Shell,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,153,2025-12-08T15:57:50Z,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community."
95,top-100-forks,LibreTV,12659,26204,JavaScript,https://github.com/LibreSpark/LibreTV,LibreSpark,91,2025-08-12T12:56:19Z,一分钟搭建影视站，支持Vercel/Docker等部署方式
96,top-100-forks,pytorch,95702,26144,Python,https://github.com/pytorch/pytorch,pytorch,16145,2025-12-09T04:01:01Z,Tensors and Dynamic neural networks in Python with strong GPU acceleration
97,top-100-forks,assets,5154,26125,Go,https://github.com/trustwallet/assets,trustwallet,0,2025-12-08T20:41:34Z,"A comprehensive, up-to-date collection of information about several thousands (!) of crypto tokens."
98,top-100-forks,elasticsearch,75613,25651,Java,https://github.com/elastic/elasticsearch,elastic,4372,2025-12-09T00:51:39Z,"Free and Open Source, Distributed, RESTful Search Engine"
99,top-100-forks,streamlit-example,414,25440,Python,https://github.com/streamlit/streamlit-example,streamlit,2,2024-08-21T10:02:47Z,Example Streamlit app that you can fork to test out share.streamlit.io
100,top-100-forks,AspNetCore.Docs,13033,25057,C#,https://github.com/dotnet/AspNetCore.Docs,dotnet,610,2025-12-09T00:09:06Z,Documentation for ASP.NET Core
